Timepoint_name,Timepoint,plate_id,Comment
Tp1,2/2/2021 22:10,2,Random guess
Tp2,2/2/2021 23:10,2,Random guess
Tp3,2/3/2021 0:10,2,Random guess
Tp4,2/3/2021 1:10,2,Random guess
Tp5,2/3/2021 2:10,2,Random guess
Tp6,2/3/2021 3:30,2,Random guess
Tp7,2/3/2021 4:30,2,Random guess
Tp8,2/3/2021 6:30,2,Closeup
Tp9,2/3/2021 7:15,2,Closeup
Tp10,2/3/2021 8:21,2,Closeup
Tp11,2/3/2021 8:48,2,Large TileScan
Tp12,2/3/2021 9:48,2,Large TileScan
Tp13,2/3/2021 10:48,2,Large TileScan
Tp14,2/3/2021 11:48,2,Large TileScan
Tp15,2/3/2021 12:48,2,Large TileScan
Tp16,2/3/2021 13:48,2,Large TileScan
Tp17,2/3/2021 14:48,2,Large TileScan
Tp18,2/3/2021 15:48,2,Large TileScan
Tp19,2/3/2021 16:48,2,Large TileScan
Tp20,2/3/2021 17:48,2,Large TileScan
Tp21,2/3/2021 18:48,2,Large TileScan
Tp22,2/3/2021 19:48,2,Large TileScan
Tp23,2/3/2021 20:48,2,Large TileScan
Tp24,2/3/2021 21:48,2,Large TileScan
Tp25,2/3/2021 23:27,2,Closeup
Tp26,2/4/2021 0:15,3,Closeup
Tp27,2/4/2021 1:05,5,Closeup
Tp28,2/4/2021 1:55,7,Closeup
Tp29,2/4/2021 2:46,9,Closeup
Tp30,2/4/2021 3:58,1,Large TileScan
Tp31,2/4/2021 4:58,1,Large TileScan
Tp32,2/4/2021 5:58,1,Large TileScan
Tp33,2/4/2021 6:58,1,Large TileScan
Tp34,2/4/2021 7:58,1,Large TileScan
Tp35,2/4/2021 8:58,1,Large TileScan
Tp36,2/4/2021 9:58,1,Large TileScan
Tp37,2/4/2021 10:58,1,Large TileScan
Tp38,2/4/2021 11:58,1,Large TileScan
Tp39,2/4/2021 22:00,9,Test
Tp40,2/4/2021 23:00,7,Test
Tp41,2/5/2021 0:00,5,Test
Tp42,2/5/2021 1:00,3,Test
Tp43,2/5/2021 2:00,1,Test
