plate_id,plate_name,Timepoint,OD,Volume_uL
1,EQ59_Gly_Plt1_7,2/2/2021 21:00,5.00E-07,100
2,EQ59_Gly_Plt1_6,2/2/2021 21:00,5.00E-06,100
3,EQ59_Gly_Plt2_7,2/2/2021 23:20,5.00E-07,100
4,EQ59_Gly_Plt2_6,2/2/2021 23:20,5.00E-06,100
5,EQ59_Gly_Plt3_7,2/3/2021 1:00,5.00E-07,100
6,EQ59_Gly_Plt3_6,2/3/2021 1:00,5.00E-06,100
7,EQ59_Gly_Plt4_7,2/3/2021 3:30,5.00E-07,100
8,EQ59_Gly_Plt4_6,2/3/2021 3:30,5.00E-06,100
9,EQ59_Gly_Plt5_7,2/3/2021 7:10,5.00E-07,100
10,EQ59_Gly_Plt5_6,2/3/2021 7:10,5.00E-06,100
,,,,
,,,,
